sample_id,site,mineral,Au,Cu,Fe,S,O
S00111,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00112,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00113,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00114,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00115,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00116,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00117,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00118,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00119,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00120,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00121,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00122,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00123,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00124,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00125,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00126,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00127,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00128,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00129,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00130,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00131,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00132,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00133,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00134,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00135,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00136,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00137,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00138,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00139,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00140,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00141,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00142,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00143,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00144,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00145,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00146,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00147,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00148,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00149,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00150,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00151,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00152,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00153,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00154,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00155,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00156,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00157,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00158,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00159,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00160,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00161,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00162,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00163,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00164,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00165,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00166,Kapoeta_East,hematite,0,0,2,0,3
S00167,Kapoeta_East,hematite,0,0,2,0,3
S00168,Kapoeta_East,hematite,0,0,2,0,3
S00169,Kapoeta_East,hematite,0,0,2,0,3
S00170,Kapoeta_East,hematite,0,0,2,0,3
S00171,Kapoeta_East,hematite,0,0,2,0,3
S00172,Kapoeta_East,hematite,0,0,2,0,3
S00173,Kapoeta_East,hematite,0,0,2,0,3
S00174,Kapoeta_East,hematite,0,0,2,0,3
S00175,Kapoeta_East,hematite,0,0,2,0,3
S00176,Kapoeta_East,hematite,0,0,2,0,3
S00177,Kapoeta_East,hematite,0,0,2,0,3
S00178,Kapoeta_East,hematite,0,0,2,0,3
S00179,Kapoeta_East,hematite,0,0,2,0,3
S00180,Kapoeta_East,hematite,0,0,2,0,3
S00181,Kapoeta_East,hematite,0,0,2,0,3
S00182,Kapoeta_East,hematite,0,0,2,0,3
S00183,Kapoeta_East,hematite,0,0,2,0,3
S00184,Kapoeta_East,hematite,0,0,2,0,3
S00185,Kapoeta_East,hematite,0,0,2,0,3
S00186,Kapoeta_East,hematite,0,0,2,0,3
S00187,Kapoeta_East,hematite,0,0,2,0,3
S00188,Kapoeta_East,hematite,0,0,2,0,3
S00189,Kapoeta_East,hematite,0,0,2,0,3
S00190,Kapoeta_East,hematite,0,0,2,0,3
S00191,Kapoeta_East,hematite,0,0,2,0,3
S00192,Kapoeta_East,hematite,0,0,2,0,3
S00193,Kapoeta_East,hematite,0,0,2,0,3
S00194,Kapoeta_East,hematite,0,0,2,0,3
S00195,Kapoeta_East,hematite,0,0,2,0,3
S00196,Kapoeta_East,hematite,0,0,2,0,3
S00197,Kapoeta_East,hematite,0,0,2,0,3
S00198,Kapoeta_East,hematite,0,0,2,0,3
S00199,Kapoeta_East,hematite,0,0,2,0,3
S00200,Kapoeta_East,hematite,0,0,2,0,3
S00201,Kapoeta_East,hematite,0,0,2,0,3
S00202,Kapoeta_East,hematite,0,0,2,0,3
S00203,Kapoeta_East,hematite,0,0,2,0,3
S00204,Kapoeta_East,hematite,0,0,2,0,3
S00205,Kapoeta_East,hematite,0,0,2,0,3
S00206,Kapoeta_East,hematite,0,0,2,0,3
S00207,Kapoeta_East,hematite,0,0,2,0,3
S00208,Kapoeta_East,hematite,0,0,2,0,3
S00209,Kapoeta_East,hematite,0,0,2,0,3
S00210,Kapoeta_East,hematite,0,0,2,0,3
S00211,Kapoeta_East,hematite,0,0,2,0,3
S00212,Kapoeta_East,hematite,0,0,2,0,3
S00213,Kapoeta_East,hematite,0,0,2,0,3
S00214,Kapoeta_East,hematite,0,0,2,0,3
S00215,Kapoeta_East,hematite,0,0,2,0,3
S00216,Kapoeta_East,hematite,0,0,2,0,3
S00217,Kapoeta_East,hematite,0,0,2,0,3
S00218,Kapoeta_East,hematite,0,0,2,0,3
S00219,Kapoeta_East,hematite,0,0,2,0,3
S00220,Kapoeta_East,hematite,0,0,2,0,3
S00221,Kapoeta_East,hematite,0,0,2,0,3
S00222,Kapoeta_East,hematite,0,0,2,0,3
S00223,Kapoeta_East,hematite,0,0,2,0,3
S00224,Kapoeta_East,hematite,0,0,2,0,3
S00225,Kapoeta_East,hematite,0,0,2,0,3
S00226,Kapoeta_East,hematite,0,0,2,0,3
S00227,Kapoeta_East,hematite,0,0,2,0,3
S00228,Kapoeta_East,hematite,0,0,2,0,3
S00229,Kapoeta_East,hematite,0,0,2,0,3
S00230,Kapoeta_East,hematite,0,0,2,0,3
S00231,Kapoeta_East,hematite,0,0,2,0,3
S00232,Kapoeta_East,hematite,0,0,2,0,3
S00233,Kapoeta_East,hematite,0,0,2,0,3
S00234,Kapoeta_East,hematite,0,0,2,0,3
S00235,Kapoeta_East,hematite,0,0,2,0,3
S00236,Kapoeta_East,hematite,0,0,2,0,3
S00237,Kapoeta_East,hematite,0,0,2,0,3
S00238,Kapoeta_East,hematite,0,0,2,0,3
S00239,Kapoeta_East,hematite,0,0,2,0,3
S00240,Kapoeta_East,hematite,0,0,2,0,3
S00241,Central_Equatoria,gold,1,0,0,0,0
S00242,Central_Equatoria,gold,1,0,0,0,0
S00243,Central_Equatoria,gold,1,0,0,0,0
S00244,Central_Equatoria,gold,1,0,0,0,0
S00245,Central_Equatoria,gold,1,0,0,0,0
S00246,Central_Equatoria,gold,1,0,0,0,0
S00247,Central_Equatoria,gold,1,0,0,0,0
S00248,Central_Equatoria,gold,1,0,0,0,0
S00249,Central_Equatoria,gold,1,0,0,0,0
S00250,Central_Equatoria,gold,1,0,0,0,0
S00251,Central_Equatoria,gold,1,0,0,0,0
S00252,Central_Equatoria,gold,1,0,0,0,0
S00253,Central_Equatoria,gold,1,0,0,0,0
S00254,Central_Equatoria,gold,1,0,0,0,0
S00255,Central_Equatoria,gold,1,0,0,0,0
S00256,Central_Equatoria,gold,1,0,0,0,0
S00257,Central_Equatoria,gold,1,0,0,0,0
S00258,Central_Equatoria,gold,1,0,0,0,0
S00259,Central_Equatoria,gold,1,0,0,0,0
S00260,Central_Equatoria,gold,1,0,0,0,0
S00261,Central_Equatoria,gold,1,0,0,0,0
S00262,Central_Equatoria,gold,1,0,0,0,0
S00263,Central_Equatoria,gold,1,0,0,0,0
S00264,Central_Equatoria,gold,1,0,0,0,0
S00265,Central_Equatoria,gold,1,0,0,0,0
S00266,Central_Equatoria,gold,1,0,0,0,0
S00267,Central_Equatoria,gold,1,0,0,0,0
S00268,Central_Equatoria,gold,1,0,0,0,0
S00269,Central_Equatoria,gold,1,0,0,0,0
S00270,Central_Equatoria,gold,1,0,0,0,0
S00271,Central_Equatoria,gold,1,0,0,0,0
S00272,Central_Equatoria,gold,1,0,0,0,0
S00273,Central_Equatoria,gold,1,0,0,0,0
S00274,Central_Equatoria,gold,1,0,0,0,0
S00275,Central_Equatoria,gold,1,0,0,0,0
S00276,Central_Equatoria,gold,1,0,0,0,0
S00277,Central_Equatoria,gold,1,0,0,0,0
S00278,Central_Equatoria,gold,1,0,0,0,0
S00279,Central_Equatoria,gold,1,0,0,0,0
S00280,Central_Equatoria,gold,1,0,0,0,0
S00281,Central_Equatoria,gold,1,0,0,0,0
S00282,Central_Equatoria,gold,1,0,0,0,0
S00283,Central_Equatoria,gold,1,0,0,0,0
S00284,Central_Equatoria,gold,1,0,0,0,0
S00285,Central_Equatoria,gold,1,0,0,0,0
S00286,Central_Equatoria,gold,1,0,0,0,0
S00287,Central_Equatoria,gold,1,0,0,0,0
S00288,Central_Equatoria,gold,1,0,0,0,0
S00289,Central_Equatoria,gold,1,0,0,0,0
S00290,Central_Equatoria,gold,1,0,0,0,0
S00291,Central_Equatoria,gold,1,0,0,0,0
S00292,Central_Equatoria,gold,1,0,0,0,0
S00293,Central_Equatoria,gold,1,0,0,0,0
S00294,Central_Equatoria,gold,1,0,0,0,0
S00295,Central_Equatoria,gold,1,0,0,0,0
S00296,Central_Equatoria,gold,1,0,0,0,0
S00297,Central_Equatoria,gold,1,0,0,0,0
S00298,Central_Equatoria,gold,1,0,0,0,0
S00299,Central_Equatoria,gold,1,0,0,0,0
S00300,Central_Equatoria,gold,1,0,0,0,0
S00301,Central_Equatoria,gold,1,0,0,0,0
S00302,Central_Equatoria,gold,1,0,0,0,0
S00303,Central_Equatoria,gold,1,0,0,0,0
S00304,Central_Equatoria,gold,1,0,0,0,0
S00305,Central_Equatoria,gold,1,0,0,0,0
S00306,Central_Equatoria,gold,1,0,0,0,0
S00307,Central_Equatoria,gold,1,0,0,0,0
S00308,Central_Equatoria,gold,1,0,0,0,0
S00309,Central_Equatoria,gold,1,0,0,0,0
S00310,Central_Equatoria,gold,1,0,0,0,0
S00311,Central_Equatoria,gold,1,0,0,0,0
S00312,Central_Equatoria,gold,1,0,0,0,0
S00313,Central_Equatoria,gold,1,0,0,0,0
S00314,Central_Equatoria,gold,1,0,0,0,0
S00315,Central_Equatoria,gold,1,0,0,0,0
S00316,Central_Equatoria,gold,1,0,0,0,0
S00317,Central_Equatoria,gold,1,0,0,0,0
S00318,Central_Equatoria,gold,1,0,0,0,0
S00319,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00320,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00321,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00322,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00323,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00324,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00325,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00326,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00327,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00328,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00329,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00330,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00331,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00332,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00333,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00334,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00335,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00336,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00337,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00338,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00339,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00340,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00341,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00342,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00343,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00344,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00345,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00346,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00347,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00348,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00349,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00350,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00351,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00352,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00353,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00354,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00355,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00356,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00357,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00358,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00359,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00360,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00361,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00362,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00363,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00364,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00365,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00366,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00367,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00368,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00369,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00370,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00371,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00372,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00373,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00374,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00375,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00376,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00377,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00378,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00379,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00380,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00381,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00382,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00383,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00384,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00385,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00386,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00387,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00388,Central_Equatoria,chalcopyrite,0,1,1,2,0
S00389,Central_Equatoria,hematite,0,0,2,0,3
S00390,Central_Equatoria,hematite,0,0,2,0,3
S00391,Central_Equatoria,hematite,0,0,2,0,3
S00392,Central_Equatoria,hematite,0,0,2,0,3
S00393,Central_Equatoria,hematite,0,0,2,0,3
S00394,Central_Equatoria,hematite,0,0,2,0,3
S00395,Central_Equatoria,hematite,0,0,2,0,3
S00396,Central_Equatoria,hematite,0,0,2,0,3
S00397,Central_Equatoria,hematite,0,0,2,0,3
S00398,Central_Equatoria,hematite,0,0,2,0,3
S00399,Central_Equatoria,hematite,0,0,2,0,3
S00400,Central_Equatoria,hematite,0,0,2,0,3
S00401,Central_Equatoria,hematite,0,0,2,0,3
S00402,Central_Equatoria,hematite,0,0,2,0,3
S00403,Central_Equatoria,hematite,0,0,2,0,3
S00404,Central_Equatoria,hematite,0,0,2,0,3
S00405,Central_Equatoria,hematite,0,0,2,0,3
S00406,Central_Equatoria,hematite,0,0,2,0,3
S00407,Central_Equatoria,hematite,0,0,2,0,3
S00408,Central_Equatoria,hematite,0,0,2,0,3
S00409,Central_Equatoria,hematite,0,0,2,0,3
S00410,Central_Equatoria,hematite,0,0,2,0,3
S00411,Central_Equatoria,hematite,0,0,2,0,3
S00412,Central_Equatoria,hematite,0,0,2,0,3
S00413,Central_Equatoria,hematite,0,0,2,0,3
S00414,Central_Equatoria,hematite,0,0,2,0,3
S00415,Central_Equatoria,hematite,0,0,2,0,3
S00416,Central_Equatoria,hematite,0,0,2,0,3
S00417,Central_Equatoria,hematite,0,0,2,0,3
S00418,Central_Equatoria,hematite,0,0,2,0,3
S00419,Central_Equatoria,hematite,0,0,2,0,3
S00420,Central_Equatoria,hematite,0,0,2,0,3
S00421,Central_Equatoria,hematite,0,0,2,0,3
S00422,Central_Equatoria,hematite,0,0,2,0,3
S00423,Central_Equatoria,hematite,0,0,2,0,3
S00424,Central_Equatoria,hematite,0,0,2,0,3
S00425,Central_Equatoria,hematite,0,0,2,0,3
S00426,Central_Equatoria,hematite,0,0,2,0,3
S00427,Central_Equatoria,hematite,0,0,2,0,3
S00428,Central_Equatoria,hematite,0,0,2,0,3
S00429,Central_Equatoria,hematite,0,0,2,0,3
S00430,Central_Equatoria,hematite,0,0,2,0,3
S00431,Central_Equatoria,hematite,0,0,2,0,3
S00432,Central_Equatoria,hematite,0,0,2,0,3
S00433,Central_Equatoria,hematite,0,0,2,0,3
S00434,Central_Equatoria,hematite,0,0,2,0,3
S00435,Central_Equatoria,hematite,0,0,2,0,3
S00436,Central_Equatoria,hematite,0,0,2,0,3
S00437,Central_Equatoria,hematite,0,0,2,0,3
S00438,Central_Equatoria,hematite,0,0,2,0,3
S00439,Central_Equatoria,hematite,0,0,2,0,3
S00440,Central_Equatoria,hematite,0,0,2,0,3
S00441,Central_Equatoria,hematite,0,0,2,0,3
S00442,Central_Equatoria,hematite,0,0,2,0,3
S00443,Central_Equatoria,hematite,0,0,2,0,3
S00444,Yei_River,gold,1,0,0,0,0
S00445,Yei_River,gold,1,0,0,0,0
S00446,Yei_River,gold,1,0,0,0,0
S00447,Yei_River,gold,1,0,0,0,0
S00448,Yei_River,gold,1,0,0,0,0
S00449,Yei_River,gold,1,0,0,0,0
S00450,Yei_River,gold,1,0,0,0,0
S00451,Yei_River,gold,1,0,0,0,0
S00452,Yei_River,gold,1,0,0,0,0
S00453,Yei_River,gold,1,0,0,0,0
S00454,Yei_River,gold,1,0,0,0,0
S00455,Yei_River,gold,1,0,0,0,0
S00456,Yei_River,gold,1,0,0,0,0
S00457,Yei_River,gold,1,0,0,0,0
S00458,Yei_River,gold,1,0,0,0,0
S00459,Yei_River,gold,1,0,0,0,0
S00460,Yei_River,gold,1,0,0,0,0
S00461,Yei_River,gold,1,0,0,0,0
S00462,Yei_River,gold,1,0,0,0,0
S00463,Yei_River,gold,1,0,0,0,0
S00464,Yei_River,gold,1,0,0,0,0
S00465,Yei_River,gold,1,0,0,0,0
S00466,Yei_River,gold,1,0,0,0,0
S00467,Yei_River,gold,1,0,0,0,0
S00468,Yei_River,gold,1,0,0,0,0
S00469,Yei_River,gold,1,0,0,0,0
S00470,Yei_River,gold,1,0,0,0,0
S00471,Yei_River,gold,1,0,0,0,0
S00472,Yei_River,gold,1,0,0,0,0
S00473,Yei_River,gold,1,0,0,0,0
S00474,Yei_River,gold,1,0,0,0,0
S00475,Yei_River,gold,1,0,0,0,0
S00476,Yei_River,gold,1,0,0,0,0
S00477,Yei_River,gold,1,0,0,0,0
S00478,Yei_River,gold,1,0,0,0,0
S00479,Yei_River,gold,1,0,0,0,0
S00480,Yei_River,gold,1,0,0,0,0
S00481,Yei_River,gold,1,0,0,0,0
S00482,Yei_River,gold,1,0,0,0,0
S00483,Yei_River,gold,1,0,0,0,0
S00484,Yei_River,gold,1,0,0,0,0
S00485,Yei_River,gold,1,0,0,0,0
S00486,Yei_River,gold,1,0,0,0,0
S00487,Yei_River,gold,1,0,0,0,0
S00488,Yei_River,gold,1,0,0,0,0
S00489,Yei_River,gold,1,0,0,0,0
S00490,Yei_River,gold,1,0,0,0,0
S00491,Yei_River,gold,1,0,0,0,0
S00492,Yei_River,gold,1,0,0,0,0
S00493,Yei_River,gold,1,0,0,0,0
S00494,Yei_River,gold,1,0,0,0,0
S00495,Yei_River,gold,1,0,0,0,0
S00496,Yei_River,gold,1,0,0,0,0
S00497,Yei_River,gold,1,0,0,0,0
S00498,Yei_River,gold,1,0,0,0,0
S00499,Yei_River,gold,1,0,0,0,0
S00500,Yei_River,gold,1,0,0,0,0
S00501,Yei_River,gold,1,0,0,0,0
S00502,Yei_River,gold,1,0,0,0,0
S00503,Yei_River,gold,1,0,0,0,0
S00504,Yei_River,gold,1,0,0,0,0
S00505,Yei_River,gold,1,0,0,0,0
S00506,Yei_River,gold,1,0,0,0,0
S00507,Yei_River,gold,1,0,0,0,0
S00508,Yei_River,gold,1,0,0,0,0
S00509,Yei_River,gold,1,0,0,0,0
S00510,Yei_River,gold,1,0,0,0,0
